Local,tipo,faixa_preco,ambiente,publico,avaliacao,abre,fecha
BARRACAO SKATE CLUB,bar,media,informal,jovem,"4,8",22:00,03:00
Matheus & Rosaria Bar,bar,media,formal,jovem,"4,6",11:00,00:00
Bar da Careta,bar,media,formal,jovem,"4,4",16:00,01:00
Villa Madalena Soul Bar,bar,caro,formal ,adulto,"4,6",11:00,00:00
Espina Espetos,bar,barato,informal,jovem ,"4,4",10:30,23:00
Jacare,bar,medio,informal,jovem,"4,7",11:00,14:30
The roots,bar,medio,informal ,jovem,"4,6",20:00,02:00
Bitelo,hamburgueria,medio,informal ,jovem,"4,5",18:00,01:00
Chic10,lanchonete,barato,formal,jovem/aduldo,"4,5",10:00,03:00
"Brutu's Lanches
",lanchonete,barato,formal ,jovem/aduldo,"4,4",10:00,03:00
Bonitos,lanchonete,barato,informal ,jovem/adulto,"4,5",16:30,01:00
Capitao Prime,hamburgueria,barato,formal,jovem/adulto,"4,8",18:00,23:30
Senhor Burguer,hamburgueria,barato,formal ,jovem/adulto,"4,5",19:00,23:30
Games Burguer,restaurante,medio,informal ,jovem/adulto,"4,8",16:00,02:00
Peks,restaurante,barato ,informal ,jovem,"4,9",19:00,23:00
Miguelzinho Snooker Bar,bar,barato ,informal ,jovem ,"4,3",16:00,03:00
Bistro,restaurante,medio,formal,adulto,"4,7",11:00,14:00
Cafeteria Affamato,cafeteria ,caro,formal,adulto,5,09:00,17:30
Rancho Picanha na Tabua,restaurante,medio,formal,adulto,"4,5",18:00,22:30
Choperia n1,bar,medio,informal,jovem,"4,8",11:00,23:00
bar do gerente,bar,medio,informal,jovem,"4,6",17:00,01:00
maria e jose parrilha,restaurante,caro,formal,jovem/adulto,"4,4",11:00,23:00
The Spot,restaurante,barato,informal,jovem,"4,6",08:00,00:00
Pesque & Pague Santa Clara,restaurante,medio,formal,adulto,"4,4",10:00,18:00
tabua mista,restaurante,barato,formal,adulto,"4,1",11:00,00:00
taberna,bar,caro,fomral,jovem,"4,5",17:00,23:00
gran rock,bar,caro,informal,jovem,"4,9",18:30,00:00
Brooks Hamburgueria,hamburgueria,medio,formal,jovem/adulto,"4,6",18:00,00:00
burguer house,hamburgueria,barato,formal,adulto,"4,6",18:30,23:30
Boteco do Joca,bar,barato,formal,jovem/adulto,"4,4",11:00,23:00
agro bar,bar,medio,formal,jovem,"3,7",17:00,20:00
O Boteco do Pátio,bar,barato,formal,jovem,"4,8",17:00,23:00
TutiYa Sushi Bar - Comida Japonesa,restaurante,caro,formal,adulto,"4,7",11:00,23:00
daniel san,restaurante,caro,formal,adulto ,"4,4",18:00,23:00
Atlântico Gastrobar,bar,caro,formal,adulto,"4,4",11:30,00:00
São Bernardo Bar e Cervejaria,bar,medio,formal,jovem,"4,8",18:00,00:00
Planeta Malte Bar,bar,medio,formal,adulto,"4,8",17:00,00:00
feitoria da cerveja,bar,medio,formal,adulto,"4,8",16:00,23:00
confraria,bar/hamburgueria,barato,formal,jovem/adulto,4,16:00,23:30
duze,hamburgueria,barato,formal,adulto ,"4,6",17:00,00:00
Cascata Pizzas Rodízio,pizzaria,barato,formal,adulto ,"4,1",19:00,23:30
pizza bar,pizzaria,medio,formal,adulto ,"4,5",18:15,23:30
Parmegiana Pizzas,pizzaria,medio,formal,adulto ,"4,3",10:00,23:30
Mousse Cake Franca - Café e Restaurante,restaurante,caro,formal,adulto ,"4,3",09:00,22:40
Pizzaria Castelo Franca,pizzaria,barato,formal,adulto ,"4,6",18:00,00:00
costelao de ouro,restaurante,caro,informal,jovem/adulto,"4,5",18:00,23:00
Scamboo Petiscaria,lanchonete,caro,formal,jovem/adulto,"4,4",17:00,01:30
Konomi,restaurante,caro,formal,adulto,"4,7",11:00,22:00
box beef,restaurante,medio,informal,jovem,"4,4",10:00,23:00
pereira,bar,barato ,informal,jovem,"4,7",17:00,23:00
Morada du Capiau,bar,caro,formal,adulto,"4,7",19:00,02:00
laber jake,restaurante,barato,formal,jovem/adulto,"4,6",20:00,23:00
Culinária tex-mex,restaurante,caro,formal,jovem/adulto,"4,8",19:00,00:00
lambari,lanchonete,caro,formal,adulto,"4,7",18:30,23:30
Traíra Resto - Bar E Choperia,bar,barato,formal,jovem,"2,5",19:00,00:00
Madero & Jeronimo Burger Franca,hamburgueria,caro,formal,adulto,"4,6",11:30,23:00
Barbarus Burger - Hamburgueria Medieval,hamburgueria,medio,formal,jovem/adulto,"4,7",18:00,23:30
Hamburgueria Alameda,hamburgueria,caro,formal,jovem/adulto,"4,7",19:00,23:00
TRAPSTAR BURGUER,hamburgueria,caro,formal,jovem/adulto,"4,9",18:00,23:00
bahia lanches,lanchonete,barato,informal,jovem adulto,"4,5",17:00,01:00
Nostravamus o bar,bar,barato,informal,jovem,"4,6",16:00,00:00
Noite Nossa Bar,bar,medio,informal,jovem,"4,6",17:30,01:00
Quintal Bar do Burrinho,bar,medio,informal,jovem,"4,6",17:30,01:30
Villa Franca Bar,bar,caro,informal,jovem,"4,7",16:00,00:00
Shadow Wolf - Beer Spot,bar,caro,formal,jovem,"4,9",10:00,23:00
Armazém 43,bar,barato,informal,jovem,"4,5",17:00,01:00
Brothers Bar e Petiscaria,bar,caro,informal,jovem/adulto,"4,6",17:00,00:00
Chopperia Raposa do Ártico,bar,caro,informal,adulto,"4,4",11:00,00:00
Bar'Budus Beer e Chopp,bar,medio,informal,jovem,"4,7",17:00,00:00
BarUke beer,bar,medio,informal,jovem,"4,8",17:00,00:00
Butecando Franca Espeto Bar,bar,barato,informal,jovem,"4,8",18:00,23:00
Barucksbar,bar,medio,informal,jovem,"4,7",15:00,23:00
Butiquim do Sabiá,bar,barato,informal,jovem,"4,4",17:00,00:00
Petiscaria Mineira/Bar do twonay,bar,medio,informal,adulto,"4,4",16:45,01:00
Garrafada Coquetéis | Bar em Franca,bar,medio,informal,jovem,5,17:30,01:00
Embrazza - Espeto Bar,bar,medio,informal,jovem/adulto,5,17:00,01:00
Espetisko's Bar,bar,barato,informal,jovem/adulto,"4,7",18:00,00:00
Padrão 12 Bar,bar,medio,informal,jovem,"4,3",16:30,02:00
After Burguer - Hamburgueria,hamburgueria,caro,informal,jovem/adulto,"4,6",18:00,04:30
Escritório Bar,bar,barato,informal,jovem,"4,7",15:30,00:00
Biroska do Piri,bar,medio,informal,jovem/adulto,"4,9",16:00,00:00
Bar do Zam,bar,barato,informal,jovem,"4,7",15:30,23:30
Capetaria Tony,bar,medio,informal,jovem,"4,7",18:00,03:00
FRIO DA MADRUGADA,bar,caro,formal,jovem/adulto,"4,2",10:30,00:00
OquiOsque Pastelburger,hamburgueria,caro,formal,jovem/adulto,5,10:00,23:00
Fratelli Burguer,hamburgueria,medio,formal,jovem/adulto,"4,3",18:30,23:00
Darini's Burguer,hamburgueria,medio,formal,jovem/adulto,"4,8",18:30,00:00
barba,restaurante,medio,formal,jovem,"4,5",19:00,02:00
Larica na Brasa,hamburgueria,medio,formal,jovem/adulto,"4,2",18:00,00:00
Muvuca Lanches e Hot Dogs,lanchonete ,barato,informal,jovem/adulto,"4,5",11:00,05:00
Altas Horas Lanches,restaurante,barato,informal,jovem/adulto,"4,6",19:00,03:00
Cia Japa Franca,restaurante,caro,formal,adulto,"4,6",18:00,23:00
Saiko Nani,restaurante,caro,informal,adulto,"4,8",12:00,00:00
HAMMAY SUSHI,restaurante,caro,formal,adulto,5,11:00,22:30
Lu Wasabi,restaurante,média,informal,adulto,"4,6",18:30,00:00
Yuyake Sushi,restaurante,medio,formal,adulto,"4,6",19:00,23:00
Cobra Kai,restaurante,caro,formal,adulto,"4,3",11:00,00:00
Sumo Day,restaurante,caro,formal,adulto,"4,5",11:30,23:30
Keyko Sushi Bar,bar,caro,formal,jovem/adulto,"4,5",18:00,23:00
Jin Jin wok,restaurante,medio,formal,adulto,"4,2",10:00,21:30
Pizzaria Tarantella Franca - Pizzas Artesanais,pizzaria,medio,formal,adulto,"4,6",18:00,01:00
Pizzaria Boa Massa,pizzaria,medio,formal,adulto,"4,7",18:00,23:30
Pizzaria D'Napole,pizzaria,medio,formal,adulto,"4,5",18:00,00:00
Two Brother's Pizzaria,pizzaria,caro,formal,adulto,"4,9",19:00,23:30
Baú da Pizza,pizzaria,medio,formal,adulto,"4,1",18:00,00:00
Bella Capri Pizzaria - Franca,pizzaria,barato,formal,adulto,"4,6",18:00,23:00
Pizzaria Vitória Franca,pizzaria,barato,formal,adulto,"4,7",16:00,23:00
Mozzarella Pizzaria,pizzaria,barato,formal,adulto,"4,4",18:00,23:30
City Lanches,pizzaria,barato,formal,jovem/adulto,"4,2",18:00,02:00
Sapataria da Pizza,pizzaria,caro,formal,adulto,"4,7",18:00,23:30
Pizzaria Aquarius,pizzaria,medio,formal,adulto,"4,7",18:30,23:00
Bella Gula Pizzaria,pizzaria,medio,formal,adulto,"4,9",18:30,23:00
Pizzaria do Gaúcho,pizzaria,medio,formal,adulto,"4,5",17:00,23:30
Bella Gula Pizzaria,pizzaria,caro,formal,jovem,"4,9",18:30,22:00
Bar do Alemão,Bar,Médio,Informal,Adulto,"4,4",17:00,00:00
Picanha do Zé,Churrascaria,Médio,Familiar,Adulto,"4,6",11:00,15:00
Santa Pizza,Pizzaria,Médio,Familiar,Adulto,"4,5",18:00,23:30
Beco Burguer,Hamburgueria,Médio,Informal,Jovem/Adulto,"4,7",18:00,23:00
Bar do Paulista,Bar,Barato,Informal,Adulto,"4,3",16:00,23:00
Cantina da Nonna,Restaurante,Médio,Familiar,Adulto,"4,6",11:30,14:30
Tokyo Sushi Franca,Sushi Bar,Caro,Formal,Adulto,"4,5",18:30,23:30
Chopp Time Franca,Choperia,Médio,Informal,Adulto,"4,4",17:00,00:00
Espeto do Chef,Espetaria,Barato,Informal,Adulto,"4,2",18:00,23:00
Pizzaria La Casa,Pizzaria,Médio,Familiar,Familiar,"4,6",18:00,23:00
Garage Beer,Bar,Médio,Informal,Adulto,"4,7",18:00,01:00
Pastelaria Central,Lanchonete,Barato,Familiar,Todos,"4,4",09:00,20:00
Villa Grill,Restaurante,Médio,Familiar,Adulto,"4,5",11:00,22:00
Burger 360,Hamburgueria,Médio,Informal,Jovem,"4,6",18:00,23:30
Café do Centro,Cafeteria,Barato,Formal,Adulto,"4,5",08:00,18:00
Bar do Chicão,Bar,Barato,Informal,Adulto,"4,3",16:00,22:00
Espaço Prime Franca,Restaurante,Caro,Formal,Adulto,"4,7",19:00,23:00
Ponto do Hot Dog,Lanchonete,Barato,Informal,Jovem,"4,4",18:00,23:00
Bar e Petiscaria São Jorge,Bar,Médio,Informal,Adulto,"4,5",17:00,00:00
Sabor Mineiro Franca,Restaurante,Médio,Familiar,Adulto,"4,6",11:00,15:00
